No,Provini,Pulau Bernama,Pulau Tak Bernama,Total
1.,Aceh,205,458,663
2.,Sumatra Utara,237,182,419
3.,Sumatra Barat,200,191,391
4.,Riau,73,66,139
5.,Jambi,16,3,19
6.,Sumatra Selatan,43,10,53
7.,Bengkulu,23,24,47
8.,Lampung,86,102,188
9.,Kepulauan Bangka Belitung,311,639,950
10.,Kepulauan Riau,1.350,1.058,2.408
11.,DKI Jakarta,111,107,218
12.,Jawa Barat,19,112,131
13.,Jawa Tengah,47,249,296
14.,DI Yogyakarta,22,1,23
15.,Jawa Timur,232,55,287
16.,Banten,48,83,131
17.,Bali,25,60,85
18.,Nusa Tenggara Barat,461,403,864
19.,Nusa Tenggara Timur,473,719,1.192
20.,Kalimantan Barat,246,93,339
21.,Kalimantan Tengah,27,5,32
22.,Kalimantan Selatan,164,156,320
23.,Kalimantan Timur,232,138,370
24.,Kalimantan Utara,,,
25.,Sulawesi Utara,310,358,668
26.,Sulawesi Tengah,139,611,750
27.,Sulawesi Selatan,190,105,295
28.,Sulawesi Tenggara,361,290,651
29.,Sulawesi Barat,,,
30.,Gorontalo,96,40,136
31.,Maluku,741,681,1.422
32.,Maluku Utara,125,1.349,1.474
33.,Papua,301,297,598
34.,Papua Barat,956,989,1.945
